0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:03 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/images/icons/user-circle-rose-white.png HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/css/home.css HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:04 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/images/icons/user-circle-rose-white.png HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/css/home.css HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:05 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:06 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:12 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:44:12 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:46:15 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:46:15 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:46:48 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:46:48 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:46:54 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
