127.0.0.1 - - [31/Mar/2024:00:17:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:17:07 +0900] "GET /Bark/include/join.jsp HTTP/1.1" 200 4910
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:17:07 +0900] "GET /Bark/css/joinUser.css HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:17:21 +0900] "GET /Bark/index.jsp?target=./include/join.jsp HTTP/1.1" 500 2811
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:17:30 +0900] "GET /Bark/index.jsp?target=./include/join HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:21:41 +0900] "GET /Bark/index.jsp?target=./include/join HTTP/1.1" 200 8047
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:21:41 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:21:41 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:21:41 +0900] "GET /Bark/css/join.css HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:21:41 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:21:41 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:22:38 +0900] "GET /Bark/index.jsp?target=./include/join HTTP/1.1" 200 8047
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:22:38 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [31/Mar/2024:00:22:38 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
